index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
85,俪湖天地生活水泵房,cb5758e3ebde483d93973f08280f1e52,42011101581314000532,2,http://111.4.138.205:18080/hls/cb5758e3ebde483d93973f08280f1e52/index.m3u8
86,俪湖天地消防水泵房,21b48cdb430448d6a95a5b53f7de9ebc,42011101581314000531,3,http://111.4.138.205:18080/hls/21b48cdb430448d6a95a5b53f7de9ebc/index.m3u8
87,俪湖天地中心配电房1,8c65e78b7c2b48c3830ecc949b542db3,42011101581314000530,4,http://111.4.138.205:18080/hls/8c65e78b7c2b48c3830ecc949b542db3/index.m3u8
88,俪湖天地中心配电房2,8a7e2fe0d2bd4d2690816a21c9aa2779,42011101581314000529,5,http://111.4.138.205:18080/hls/8a7e2fe0d2bd4d2690816a21c9aa2779/index.m3u8
89,光谷上城生活水泵房,d897611142a54076a95c2dfbe6a3da8b,42011101581314000528,1,http://111.4.138.205:18080/hls/d897611142a54076a95c2dfbe6a3da8b/index.m3u8
90,光谷上城物业办公室,4c1f568924884d22bb9199ea6fd65508,42011101581314000527,2,http://111.4.138.205:18080/hls/4c1f568924884d22bb9199ea6fd65508/index.m3u8
91,光谷上城9栋配电房二,d8ba322baaab49e8beb31be9a8b7cd94,42011101581314000526,3,http://111.4.138.205:18080/hls/d8ba322baaab49e8beb31be9a8b7cd94/index.m3u8
92,光谷上城垃圾池,449faaf927c54cada98276654bcb9de6,42011101581314000525,4,http://111.4.138.205:18080/hls/449faaf927c54cada98276654bcb9de6/index.m3u8
93, 光谷上城消防水泵房,6fc18b45511b444babe370c5b59b9ea6,42011101581314000524,5,http://111.4.138.205:18080/hls/6fc18b45511b444babe370c5b59b9ea6/index.m3u8
94,光谷上城9栋配电房一,504f7360c89a47b4a96d03cd520e08a3,42011101581314000523,6,http://111.4.138.205:18080/hls/504f7360c89a47b4a96d03cd520e08a3/index.m3u8
95,西区19栋中心配电房,c0d0859c1aaf43708b01b7a6a8e462be,42011101581314000522,1,http://111.4.138.205:18080/hls/c0d0859c1aaf43708b01b7a6a8e462be/index.m3u8
96,西区19栋低压配电房,c0fcfe3eff6149cf81749f95a958c8ec,42011101581314000521,2,http://111.4.138.205:18080/hls/c0fcfe3eff6149cf81749f95a958c8ec/index.m3u8
97,西区19栋生活水泵房,83784edcd311455cafa27b8ea162b442,42011101581314000520,3,http://111.4.138.205:18080/hls/83784edcd311455cafa27b8ea162b442/index.m3u8
98,物业办公室,3f1f3a8f38ae494495a31eb6c686c983,42011101581314000519,4,http://111.4.138.205:18080/hls/3f1f3a8f38ae494495a31eb6c686c983/index.m3u8
99,西区19栋消防泵房,937fcff889d74c9eb108b709fd7b4f57,42011101581314000518,5,http://111.4.138.205:18080/hls/937fcff889d74c9eb108b709fd7b4f57/index.m3u8
100,物业办公室,a478289b45014c5fb5b09c55b37d8b56,42011101581314000517,1,http://111.4.138.205:18080/hls/a478289b45014c5fb5b09c55b37d8b56/index.m3u8
101,星光配电房,401bc7e6fd5945e9a7e2e0d9ecf10e7e,42011101581314000514,1,http://111.4.138.205:18080/hls/401bc7e6fd5945e9a7e2e0d9ecf10e7e/index.m3u8
102,20栋电梯机房,03583656d0a14a5eb0deadc8e5c8f8a6,42011101581314000513,2,http://111.4.138.205:18080/hls/03583656d0a14a5eb0deadc8e5c8f8a6/index.m3u8
103,24栋消防泵房,ac142807e7284923ae02eb00233a6742,42011101581314000512,3,http://111.4.138.205:18080/hls/ac142807e7284923ae02eb00233a6742/index.m3u8
104,21栋水泵房,d336cd4ac0b54360a24ee768ac28312b,42011101581314000511,4,http://111.4.138.205:18080/hls/d336cd4ac0b54360a24ee768ac28312b/index.m3u8
105,星光2栋电梯机房,5ec199341833438887ae579314f170e0,42011101581314000510,5,http://111.4.138.205:18080/hls/5ec199341833438887ae579314f170e0/index.m3u8
106,23栋电梯机房,3ff7bc4a486749208836a806d64360f0,42011101581314000509,6,http://111.4.138.205:18080/hls/3ff7bc4a486749208836a806d64360f0/index.m3u8
107,24栋电梯机房,e385b92213564e34ae405cb7cd6ee684,42011101581314000508,7,http://111.4.138.205:18080/hls/e385b92213564e34ae405cb7cd6ee684/index.m3u8
108,23栋配电房,4b373cc5cb8a459b88f882fa0c01a7e3,42011101581314000507,8,http://111.4.138.205:18080/hls/4b373cc5cb8a459b88f882fa0c01a7e3/index.m3u8
109,22栋电梯机房,6a9e78e67eb64c41a2dff6e7df332b9d,42011101581314000506,9,http://111.4.138.205:18080/hls/6a9e78e67eb64c41a2dff6e7df332b9d/index.m3u8
110,星光1栋电梯机房,51a5a65669d84af1a02c84d0717942dd,42011101581314000505,10,http://111.4.138.205:18080/hls/51a5a65669d84af1a02c84d0717942dd/index.m3u8
111,18栋电梯机房,5147f16d2c884a368a7aeb980ed23acb,42011101581314000504,11,http://111.4.138.205:18080/hls/5147f16d2c884a368a7aeb980ed23acb/index.m3u8
112,19栋电梯机房,0fea653e24ed499fb8dca2a26edcdf5b,42011101581314000503,12,http://111.4.138.205:18080/hls/0fea653e24ed499fb8dca2a26edcdf5b/index.m3u8
113,21栋电梯机房,2ce67a35c20e479d969541fa2b3d4a71,42011101581314000502,13,http://111.4.138.205:18080/hls/2ce67a35c20e479d969541fa2b3d4a71/index.m3u8
114,2号楼电梯机房,e2c7655f63ca4fc995a05d1be08c475e,42011101581314000501,15,http://111.4.138.205:18080/hls/e2c7655f63ca4fc995a05d1be08c475e/index.m3u8
115,2栋配电房,2040624f50ca441fb80f248780b89a60,42011101581314000500,25,http://111.4.138.205:18080/hls/2040624f50ca441fb80f248780b89a60/index.m3u8
116,2号楼电梯机房,d220558793134fbb9aa1454f58749a92,42011101581314000499,28,http://111.4.138.205:18080/hls/d220558793134fbb9aa1454f58749a92/index.m3u8
117,消防泵房,06adff5c94a946ee8399c1ada5e67128,42011101581314000498,29,http://111.4.138.205:18080/hls/06adff5c94a946ee8399c1ada5e67128/index.m3u8
118,生活泵房,d135e9dc87c848eb844535609d1fb321,42011101581314000497,30,http://111.4.138.205:18080/hls/d135e9dc87c848eb844535609d1fb321/index.m3u8
119,1号楼电梯机房,876f54301b894b2687e993c458e351cb,42011101581314000496,31,http://111.4.138.205:18080/hls/876f54301b894b2687e993c458e351cb/index.m3u8
120,4号高层1层大门中部西向摄像机,d2d6ec8b4448489a95d42582807be666,42011101581314000479,32,http://111.4.138.205:18080/hls/d2d6ec8b4448489a95d42582807be666/index.m3u8
121,物业大厅,ca2c756c3c5b453ca9836ed495347c91,42011101581314000444,1,http://111.4.138.205:18080/hls/ca2c756c3c5b453ca9836ed495347c91/index.m3u8
122,物业办公室,5704ad3a117a4962b2ff8487a36dc087,42011101581314000443,2,http://111.4.138.205:18080/hls/5704ad3a117a4962b2ff8487a36dc087/index.m3u8
123,Camera 01,6f6a33f4ebba4b408ff628243a051d18,42011101581314000442,3,http://111.4.138.205:18080/hls/6f6a33f4ebba4b408ff628243a051d18/index.m3u8
124,19号楼-1F大门,b80182196fc5493182106b718bea8394,42011101581314000441,1,http://111.4.138.205:18080/hls/b80182196fc5493182106b718bea8394/index.m3u8
125,19号楼-1F,30e33be2cab644039805228e27314c79,42011101581314000440,2,http://111.4.138.205:18080/hls/30e33be2cab644039805228e27314c79/index.m3u8
126,A28栋西南角球机,f27958d468b54610aada8acde369d712,42011101581314000428,8,http://111.4.138.205:18080/hls/f27958d468b54610aada8acde369d712/index.m3u8
127,B13栋西北角西向摄像机,0d0ced3ef29f4ddb9eaa1c25f636a6d5,42011101581314000427,62,http://111.4.138.205:18080/hls/0d0ced3ef29f4ddb9eaa1c25f636a6d5/index.m3u8
128,物业前台,8a1acb05f993480f890dc905458b7a4b,42011101581314000424,7,http://111.4.138.205:18080/hls/8a1acb05f993480f890dc905458b7a4b/index.m3u8
129,物业大门,ec85259e80f04bc6939ee09cafbc2950,42011101581314000423,14,http://111.4.138.205:18080/hls/ec85259e80f04bc6939ee09cafbc2950/index.m3u8
130,中电信息港1栋前厅,31962cacd46e45159e89927147a6e74f,42011101581314000422,4,http://111.4.138.205:18080/hls/31962cacd46e45159e89927147a6e74f/index.m3u8
131,中电信息港6B一层前厅,d4a4458e00854e3f88391718abb9b4d3,42011101581314000421,10,http://111.4.138.205:18080/hls/d4a4458e00854e3f88391718abb9b4d3/index.m3u8
132,中电信息港2栋前厅,b2a1b12e1f5446e29b699084a33deb12,42011101581314000420,12,http://111.4.138.205:18080/hls/b2a1b12e1f5446e29b699084a33deb12/index.m3u8
133,中电信息港8栋B座前厅,34322a93b02540ceb0501b46d2fbfbaa,42011101581314000419,13,http://111.4.138.205:18080/hls/34322a93b02540ceb0501b46d2fbfbaa/index.m3u8
